,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type
3212,Low Fat,0.100436145,Fruits and Vegetables,77.2328,OUT045,2002,Tier 2,Supermarket Type1
3213,Low Fat,0.170318251,Hard Drinks,56.1614,OUT046,1997,Tier 1,Supermarket Type1
3214,Low Fat,0.087453208,Fruits and Vegetables,110.0228,OUT046,1997,Tier 1,Supermarket Type1
3215,Low Fat,0.006062712,Frozen Foods,187.3898,OUT046,1997,Tier 1,Supermarket Type1
3216,Low Fat,0.020505252,Fruits and Vegetables,91.483,OUT027,1985,Tier 3,Supermarket Type3
3217,Regular,0.085860034,Snack Foods,169.479,OUT013,1987,Tier 3,Supermarket Type1
3218,Regular,0.079230482,Baking Goods,98.8042,OUT013,1987,Tier 3,Supermarket Type1
3219,Low Fat,0.159162446,Frozen Foods,143.1154,OUT027,1985,Tier 3,Supermarket Type3
3220,Low Fat,0.023869126,Baking Goods,101.5332,OUT017,2007,Tier 2,Supermarket Type1
3221,Low Fat,0.067431883,Household,42.4796,OUT045,2002,Tier 2,Supermarket Type1
3222,Regular,0.21471985,Baking Goods,225.9404,OUT010,1998,Tier 3,Grocery Store
3223,Low Fat,0.045564412,Dairy,39.1138,OUT017,2007,Tier 2,Supermarket Type1
3224,Regular,0.020979394,Meat,259.7936,OUT049,1999,Tier 1,Supermarket Type1
3225,Regular,0.075967092,Snack Foods,84.4908,OUT049,1999,Tier 1,Supermarket Type1
3226,Regular,0.064719441,Starchy Foods,93.6804,OUT049,1999,Tier 1,Supermarket Type1
3227,Low Fat,0.029981513,Canned,77.867,OUT027,1985,Tier 3,Supermarket Type3
3228,Regular,0.05553914,Canned,125.8046,OUT017,2007,Tier 2,Supermarket Type1
3229,Low Fat,0.015022332,Health and Hygiene,142.1154,OUT017,2007,Tier 2,Supermarket Type1
3230,Regular,0.066450399,Starchy Foods,80.796,OUT018,2009,Tier 3,Supermarket Type2
3231,Regular,0.216601163,Snack Foods,36.7874,OUT019,1985,Tier 1,Grocery Store
3232,Regular,0.072139167,Dairy,195.5794,OUT018,2009,Tier 3,Supermarket Type2
3233,Regular,0.022420996,Fruits and Vegetables,226.2036,OUT035,2004,Tier 2,Supermarket Type1
3234,Low Fat,0.070676281,Snack Foods,176.337,OUT046,1997,Tier 1,Supermarket Type1
3235,Low Fat,0.069701022,Dairy,262.9226,OUT027,1985,Tier 3,Supermarket Type3
3236,Low Fat,0.077011493,Fruits and Vegetables,45.1086,OUT045,2002,Tier 2,Supermarket Type1
3237,Low Fat,0.032600958,Frozen Foods,150.4392,OUT013,1987,Tier 3,Supermarket Type1
3238,Low Fat,0.074254285,Snack Foods,91.083,OUT027,1985,Tier 3,Supermarket Type3
3239,Low Fat,0.181114059,Household,168.8448,OUT019,1985,Tier 1,Grocery Store
3240,Low Fat,0.016608334,Frozen Foods,120.0098,OUT035,2004,Tier 2,Supermarket Type1
3241,Regular,0.104659766,Baking Goods,165.9184,OUT010,1998,Tier 3,Grocery Store
3242,Low Fat,0.133211023,Dairy,95.8726,OUT018,2009,Tier 3,Supermarket Type2
3243,Regular,0.030259174,Breads,250.6092,OUT035,2004,Tier 2,Supermarket Type1
3244,Low Fat,0.083432299,Hard Drinks,107.4596,OUT027,1985,Tier 3,Supermarket Type3
3245,Low Fat,0.018805505,Snack Foods,214.956,OUT010,1998,Tier 3,Grocery Store
3246,Low Fat,0.136008489,Hard Drinks,170.4422,OUT045,2002,Tier 2,Supermarket Type1
3247,Regular,0.02504491,Canned,146.1418,OUT027,1985,Tier 3,Supermarket Type3
3248,Low Fat,0.0582501,Health and Hygiene,104.399,OUT045,2002,Tier 2,Supermarket Type1
3249,Low Fat,0.048899701,Household,126.3336,OUT013,1987,Tier 3,Supermarket Type1
3250,Low Fat,0.093835595,Fruits and Vegetables,174.2712,OUT018,2009,Tier 3,Supermarket Type2
3251,Regular,0.088331849,Snack Foods,120.8756,OUT049,1999,Tier 1,Supermarket Type1
3252,Low Fat,0.0,Baking Goods,178.666,OUT046,1997,Tier 1,Supermarket Type1
3253,Low Fat,0.027102628,Others,50.7666,OUT045,2002,Tier 2,Supermarket Type1
3254,Low Fat,0.061225298,Soft Drinks,153.4024,OUT045,2002,Tier 2,Supermarket Type1
3255,Low Fat,0.083342202,Baking Goods,120.1756,OUT018,2009,Tier 3,Supermarket Type2
3256,Low Fat,0.093593225,Snack Foods,115.1834,OUT013,1987,Tier 3,Supermarket Type1
3257,Regular,0.101754942,Snack Foods,58.5562,OUT019,1985,Tier 1,Grocery Store
3258,Low Fat,0.167923755,Household,193.7136,OUT045,2002,Tier 2,Supermarket Type1
3259,Regular,0.084694653,Canned,212.7218,OUT013,1987,Tier 3,Supermarket Type1
3260,Low Fat,0.014452774,Meat,115.015,OUT045,2002,Tier 2,Supermarket Type1
3261,Regular,0.170685888,Dairy,155.163,OUT013,1987,Tier 3,Supermarket Type1
3262,Low Fat,0.044969294,Soft Drinks,74.867,OUT045,2002,Tier 2,Supermarket Type1
3263,Low Fat,0.009600586,Snack Foods,64.951,OUT045,2002,Tier 2,Supermarket Type1
3264,Regular,0.083321663,Dairy,121.4756,OUT019,1985,Tier 1,Grocery Store
3265,Regular,0.161756055,Fruits and Vegetables,65.7168,OUT049,1999,Tier 1,Supermarket Type1
3266,Regular,0.1055789,Fruits and Vegetables,42.4796,OUT013,1987,Tier 3,Supermarket Type1
3267,Regular,0.250008736,Snack Foods,178.366,OUT010,1998,Tier 3,Grocery Store
3268,Regular,0.043149943,Fruits and Vegetables,198.5742,OUT035,2004,Tier 2,Supermarket Type1
3269,Low Fat,0.039643601,Snack Foods,41.448,OUT046,1997,Tier 1,Supermarket Type1
3270,Low Fat,0.129903926,Household,176.637,OUT035,2004,Tier 2,Supermarket Type1
3271,Low Fat,0.027069736,Frozen Foods,212.3928,OUT019,1985,Tier 1,Grocery Store
3272,Regular,0.054583442,Starchy Foods,64.6168,OUT013,1987,Tier 3,Supermarket Type1
3273,Low Fat,0.084382084,Starchy Foods,167.9158,OUT013,1987,Tier 3,Supermarket Type1
3274,Low Fat,0.079203863,Frozen Foods,224.9062,OUT035,2004,Tier 2,Supermarket Type1
3275,Low Fat,0.023143199,Others,152.934,OUT046,1997,Tier 1,Supermarket Type1
3276,Low Fat,0.048107159,Health and Hygiene,166.3526,OUT035,2004,Tier 2,Supermarket Type1
3277,Low Fat,0.039169904,Snack Foods,149.0418,OUT018,2009,Tier 3,Supermarket Type2
3278,Low Fat,0.014021376,Household,222.5746,OUT035,2004,Tier 2,Supermarket Type1
3279,Low Fat,0.044788872,Canned,164.0842,OUT018,2009,Tier 3,Supermarket Type2
3280,Regular,0.114170018,Fruits and Vegetables,89.1856,OUT019,1985,Tier 1,Grocery Store
3281,Low Fat,0.066815522,Snack Foods,229.6694,OUT010,1998,Tier 3,Grocery Store
3282,Low Fat,0.016775365,Snack Foods,63.451,OUT019,1985,Tier 1,Grocery Store
3283,Regular,0.049957145,Meat,210.0586,OUT017,2007,Tier 2,Supermarket Type1
3284,Low Fat,0.016985198,Fruits and Vegetables,211.0586,OUT049,1999,Tier 1,Supermarket Type1
3285,Regular,0.037833211,Frozen Foods,126.1046,OUT013,1987,Tier 3,Supermarket Type1
3286,Low Fat,0.036104434,Dairy,117.1782,OUT013,1987,Tier 3,Supermarket Type1
3287,Low Fat,0.035413843,Canned,253.0014,OUT018,2009,Tier 3,Supermarket Type2
3288,Low Fat,0.06725426,Snack Foods,199.0084,OUT017,2007,Tier 2,Supermarket Type1
3289,Low Fat,0.032621941,Frozen Foods,150.9392,OUT035,2004,Tier 2,Supermarket Type1
3290,Regular,0.075481864,Snack Foods,85.3908,OUT027,1985,Tier 3,Supermarket Type3
3291,Low Fat,0.095917719,Soft Drinks,171.8106,OUT017,2007,Tier 2,Supermarket Type1
3292,Low Fat,0.015751294,Baking Goods,71.638,OUT010,1998,Tier 3,Grocery Store
3293,Low Fat,0.026928324,Soft Drinks,151.6682,OUT027,1985,Tier 3,Supermarket Type3
3294,Regular,0.245136905,Canned,110.8228,OUT019,1985,Tier 1,Grocery Store
3295,Low Fat,0.070733741,Soft Drinks,112.0518,OUT027,1985,Tier 3,Supermarket Type3
3296,Low Fat,0.039374545,Frozen Foods,245.5802,OUT045,2002,Tier 2,Supermarket Type1
3297,Low Fat,0.032498972,Baking Goods,181.266,OUT049,1999,Tier 1,Supermarket Type1
3298,Regular,0.026473267,Meat,37.9532,OUT027,1985,Tier 3,Supermarket Type3
3299,Low Fat,0.026840766,Meat,126.902,OUT046,1997,Tier 1,Supermarket Type1
3300,Regular,0.061175535,Breakfast,58.6588,OUT046,1997,Tier 1,Supermarket Type1
3301,Low Fat,0.026921951,Frozen Foods,104.928,OUT049,1999,Tier 1,Supermarket Type1
3302,Low Fat,0.111347923,Snack Foods,155.6998,OUT013,1987,Tier 3,Supermarket Type1
3303,Low Fat,0.036338895,Dairy,119.5782,OUT017,2007,Tier 2,Supermarket Type1
3304,Regular,0.079895432,Breads,227.0036,OUT035,2004,Tier 2,Supermarket Type1
3305,Low Fat,0.079930344,Household,169.7106,OUT049,1999,Tier 1,Supermarket Type1
3306,Low Fat,0.058335906,Dairy,145.8128,OUT035,2004,Tier 2,Supermarket Type1
3307,Low Fat,0.01310911,Household,215.4192,OUT013,1987,Tier 3,Supermarket Type1
3308,Regular,0.14022623,Canned,108.8228,OUT049,1999,Tier 1,Supermarket Type1
3309,Regular,0.078723713,Snack Foods,172.4422,OUT018,2009,Tier 3,Supermarket Type2
3310,Low Fat,0.079200387,Breads,100.47,OUT035,2004,Tier 2,Supermarket Type1
3311,Regular,0.073324855,Frozen Foods,199.0426,OUT017,2007,Tier 2,Supermarket Type1
3312,Low Fat,0.071963037,Hard Drinks,251.804,OUT035,2004,Tier 2,Supermarket Type1
3313,Low Fat,0.244163174,Frozen Foods,148.1392,OUT019,1985,Tier 1,Grocery Store
3314,Regular,0.087782193,Dairy,261.791,OUT049,1999,Tier 1,Supermarket Type1
3315,Regular,0.048134189,Baking Goods,40.3138,OUT035,2004,Tier 2,Supermarket Type1
3316,Low Fat,0.305724969,Others,239.6196,OUT010,1998,Tier 3,Grocery Store
3317,Low Fat,0.09138128,Hard Drinks,126.6336,OUT017,2007,Tier 2,Supermarket Type1
3318,Low Fat,0.029190711,Household,122.4414,OUT018,2009,Tier 3,Supermarket Type2
3319,Low Fat,0.080372556,Hard Drinks,158.4946,OUT010,1998,Tier 3,Grocery Store
3320,Regular,0.011985289,Canned,184.7924,OUT013,1987,Tier 3,Supermarket Type1
3321,Low Fat,0.083783437,Meat,180.7292,OUT035,2004,Tier 2,Supermarket Type1
3322,Regular,0.053775381,Fruits and Vegetables,165.7526,OUT046,1997,Tier 1,Supermarket Type1
3323,Low Fat,0.068962051,Canned,261.1278,OUT045,2002,Tier 2,Supermarket Type1
3324,Low Fat,0.071357962,Health and Hygiene,127.4362,OUT035,2004,Tier 2,Supermarket Type1
3325,Regular,0.033365743,Frozen Foods,130.931,OUT010,1998,Tier 3,Grocery Store
3326,Regular,0.067884624,Baking Goods,187.324,OUT017,2007,Tier 2,Supermarket Type1
3327,Low Fat,0.042925965,Health and Hygiene,164.5842,OUT018,2009,Tier 3,Supermarket Type2
3328,Low Fat,0.011000735,Household,258.0962,OUT013,1987,Tier 3,Supermarket Type1
3329,Low Fat,0.023031127,Others,154.534,OUT027,1985,Tier 3,Supermarket Type3
3330,Low Fat,0.121977653,Dairy,122.573,OUT027,1985,Tier 3,Supermarket Type3
3331,Regular,0.055199283,Meat,146.4734,OUT049,1999,Tier 1,Supermarket Type1
3332,Low Fat,0.041091215,Starchy Foods,182.6634,OUT027,1985,Tier 3,Supermarket Type3
3333,Regular,0.030436087,Breads,249.0092,OUT017,2007,Tier 2,Supermarket Type1
3334,Low Fat,0.06495073,Baking Goods,92.5804,OUT046,1997,Tier 1,Supermarket Type1
3335,Low Fat,0.045488814,Health and Hygiene,149.9392,OUT049,1999,Tier 1,Supermarket Type1
3336,Low Fat,0.021308724,Household,79.2328,OUT013,1987,Tier 3,Supermarket Type1
3337,Regular,0.099049679,Snack Foods,49.7666,OUT013,1987,Tier 3,Supermarket Type1
3338,Low Fat,0.050043246,Health and Hygiene,126.2336,OUT035,2004,Tier 2,Supermarket Type1
3339,Low Fat,0.035426061,Fruits and Vegetables,37.7506,OUT045,2002,Tier 2,Supermarket Type1
3340,Low Fat,0.188965879,Soft Drinks,35.9848,OUT010,1998,Tier 3,Grocery Store
3341,Regular,0.076191354,Frozen Foods,110.3228,OUT027,1985,Tier 3,Supermarket Type3
3342,Low Fat,0.170558096,Fruits and Vegetables,48.7692,OUT027,1985,Tier 3,Supermarket Type3
3343,Low Fat,0.088988939,Canned,144.0786,OUT035,2004,Tier 2,Supermarket Type1
3344,Low Fat,0.0,Household,113.1176,OUT013,1987,Tier 3,Supermarket Type1
3345,Low Fat,0.0,Household,230.4642,OUT018,2009,Tier 3,Supermarket Type2
3346,Regular,0.219914554,Frozen Foods,98.8358,OUT019,1985,Tier 1,Grocery Store
3347,Low Fat,0.11858387,Snack Foods,224.4088,OUT018,2009,Tier 3,Supermarket Type2
3348,Regular,0.058043379,Fruits and Vegetables,239.8564,OUT046,1997,Tier 1,Supermarket Type1
3349,Regular,0.122040464,Frozen Foods,197.5426,OUT010,1998,Tier 3,Grocery Store
3350,Low Fat,0.024048716,Household,104.9964,OUT018,2009,Tier 3,Supermarket Type2
3351,Low Fat,0.04193537,Household,104.5964,OUT019,1985,Tier 1,Grocery Store
3352,Low Fat,0.072816495,Household,231.3668,OUT045,2002,Tier 2,Supermarket Type1
3353,Low Fat,0.035904485,Fruits and Vegetables,258.6278,OUT035,2004,Tier 2,Supermarket Type1
3354,Low Fat,0.051651503,Breads,35.2558,OUT035,2004,Tier 2,Supermarket Type1
3355,Regular,0.076162818,Frozen Foods,190.7846,OUT049,1999,Tier 1,Supermarket Type1
3356,Low Fat,0.027691308,Health and Hygiene,63.3168,OUT013,1987,Tier 3,Supermarket Type1
3357,Regular,0.04670302,Fruits and Vegetables,122.2388,OUT045,2002,Tier 2,Supermarket Type1
3358,Low Fat,0.041930938,Health and Hygiene,188.0214,OUT049,1999,Tier 1,Supermarket Type1
3359,Regular,0.0,Snack Foods,57.7588,OUT049,1999,Tier 1,Supermarket Type1
3360,Low Fat,0.048834717,Fruits and Vegetables,36.5506,OUT049,1999,Tier 1,Supermarket Type1
3361,Low Fat,0.022841841,Fruits and Vegetables,158.192,OUT045,2002,Tier 2,Supermarket Type1
3362,Regular,0.020777214,Canned,88.8488,OUT035,2004,Tier 2,Supermarket Type1
3363,Regular,0.093786169,Baking Goods,98.9068,OUT013,1987,Tier 3,Supermarket Type1
3364,Regular,0.108947031,Baking Goods,86.5514,OUT019,1985,Tier 1,Grocery Store
3365,Regular,0.045327376,Meat,198.211,OUT010,1998,Tier 3,Grocery Store
3366,Regular,0.093309811,Snack Foods,212.6244,OUT027,1985,Tier 3,Supermarket Type3
3367,Regular,0.026882496,Baking Goods,222.6456,OUT049,1999,Tier 1,Supermarket Type1
3368,Regular,0.018052793,Meat,103.399,OUT049,1999,Tier 1,Supermarket Type1
3369,Low Fat,0.0,Dairy,35.1874,OUT027,1985,Tier 3,Supermarket Type3
3370,Low Fat,0.136384322,Canned,94.8094,OUT013,1987,Tier 3,Supermarket Type1
3371,Low Fat,0.069411836,Meat,51.5324,OUT035,2004,Tier 2,Supermarket Type1
3372,Low Fat,0.077048493,Dairy,60.0536,OUT018,2009,Tier 3,Supermarket Type2
3373,Low Fat,0.128611924,Snack Foods,104.1622,OUT018,2009,Tier 3,Supermarket Type2
3374,Regular,0.083201696,Frozen Foods,181.8318,OUT027,1985,Tier 3,Supermarket Type3
3375,Regular,0.045857055,Snack Foods,170.4132,OUT045,2002,Tier 2,Supermarket Type1
3376,Low Fat,0.11245226,Canned,120.744,OUT045,2002,Tier 2,Supermarket Type1
3377,Low Fat,0.017942517,Starchy Foods,176.3686,OUT045,2002,Tier 2,Supermarket Type1
3378,Regular,0.226744199,Snack Foods,140.2838,OUT019,1985,Tier 1,Grocery Store
3379,Low Fat,0.026875077,Frozen Foods,107.028,OUT035,2004,Tier 2,Supermarket Type1
3380,Regular,0.139495548,Canned,266.5884,OUT035,2004,Tier 2,Supermarket Type1
3381,Low Fat,0.075578048,Dairy,165.7158,OUT046,1997,Tier 1,Supermarket Type1
3382,Regular,0.081214552,Snack Foods,51.4008,OUT049,1999,Tier 1,Supermarket Type1
3383,Low Fat,0.138175481,Canned,178.1002,OUT010,1998,Tier 3,Grocery Store
3384,Regular,0.096513676,Meat,178.7028,OUT046,1997,Tier 1,Supermarket Type1
3385,Regular,0.038018966,Frozen Foods,126.1046,OUT018,2009,Tier 3,Supermarket Type2
3386,Low Fat,0.02605898,Household,179.6976,OUT018,2009,Tier 3,Supermarket Type2
3387,Regular,0.078559463,Fruits and Vegetables,259.3646,OUT045,2002,Tier 2,Supermarket Type1
3388,Low Fat,0.065618346,Snack Foods,177.337,OUT017,2007,Tier 2,Supermarket Type1
3389,Low Fat,0.126139002,Household,125.9362,OUT013,1987,Tier 3,Supermarket Type1
3390,Regular,0.138452448,Dairy,185.4608,OUT019,1985,Tier 1,Grocery Store
3391,Low Fat,0.0,Canned,89.2488,OUT013,1987,Tier 3,Supermarket Type1
3392,Low Fat,0.030664334,Starchy Foods,254.404,OUT049,1999,Tier 1,Supermarket Type1
3393,Low Fat,0.093067785,Dairy,75.567,OUT018,2009,Tier 3,Supermarket Type2
3394,Low Fat,0.005675194,Baking Goods,184.1924,OUT049,1999,Tier 1,Supermarket Type1
3395,Low Fat,0.07435487,Household,92.4462,OUT049,1999,Tier 1,Supermarket Type1
3396,Low Fat,0.103453599,Canned,103.699,OUT035,2004,Tier 2,Supermarket Type1
3397,Low Fat,0.052190155,Snack Foods,101.899,OUT027,1985,Tier 3,Supermarket Type3
3398,Low Fat,0.010662263,Household,231.9958,OUT017,2007,Tier 2,Supermarket Type1
3399,Low Fat,0.112968748,Household,252.8724,OUT027,1985,Tier 3,Supermarket Type3
3400,Regular,0.10711317,Meat,125.1388,OUT019,1985,Tier 1,Grocery Store
3401,Regular,0.041974545,Meat,42.3112,OUT035,2004,Tier 2,Supermarket Type1
3402,Low Fat,0.039268205,Household,128.4678,OUT046,1997,Tier 1,Supermarket Type1
3403,Low Fat,0.035655991,Health and Hygiene,91.212,OUT046,1997,Tier 1,Supermarket Type1
3404,Low Fat,0.06018748,Baking Goods,85.054,OUT027,1985,Tier 3,Supermarket Type3
3405,Low Fat,0.052068722,Soft Drinks,236.4564,OUT046,1997,Tier 1,Supermarket Type1
3406,Regular,0.121852987,Meat,101.4674,OUT035,2004,Tier 2,Supermarket Type1
3407,Low Fat,0.061735873,Dairy,150.805,OUT013,1987,Tier 3,Supermarket Type1
3408,Low Fat,0.0,Meat,118.5808,OUT017,2007,Tier 2,Supermarket Type1
3409,Low Fat,0.007456464,Household,188.6556,OUT046,1997,Tier 1,Supermarket Type1
3410,Regular,0.088459496,Snack Foods,124.873,OUT049,1999,Tier 1,Supermarket Type1
3411,Low Fat,0.089466421,Fruits and Vegetables,196.011,OUT027,1985,Tier 3,Supermarket Type3
3412,Low Fat,0.16741508,Soft Drinks,241.2512,OUT049,1999,Tier 1,Supermarket Type1
3413,Low Fat,0.046364789,Baking Goods,99.9384,OUT045,2002,Tier 2,Supermarket Type1
3414,Regular,0.063531895,Frozen Foods,228.6668,OUT017,2007,Tier 2,Supermarket Type1
3415,Low Fat,0.014937838,Health and Hygiene,141.2154,OUT046,1997,Tier 1,Supermarket Type1
3416,Regular,0.018009769,Meat,103.699,OUT013,1987,Tier 3,Supermarket Type1
3417,Low Fat,0.016097309,Household,195.3478,OUT013,1987,Tier 3,Supermarket Type1
3418,Regular,0.050061008,Canned,81.296,OUT035,2004,Tier 2,Supermarket Type1
3419,Low Fat,0.052393366,Frozen Foods,55.3588,OUT049,1999,Tier 1,Supermarket Type1
3420,Low Fat,0.09742857,Household,194.582,OUT017,2007,Tier 2,Supermarket Type1
3421,Regular,0.081418801,Snack Foods,51.7008,OUT018,2009,Tier 3,Supermarket Type2
3422,Regular,0.038147426,Dairy,99.6726,OUT046,1997,Tier 1,Supermarket Type1
3423,Low Fat,0.02596979,Starchy Foods,121.344,OUT018,2009,Tier 3,Supermarket Type2
3424,Low Fat,0.015248338,Household,144.147,OUT017,2007,Tier 2,Supermarket Type1
3425,Low Fat,0.08336707,Frozen Foods,246.9776,OUT045,2002,Tier 2,Supermarket Type1
3426,Low Fat,0.033213888,Fruits and Vegetables,195.2768,OUT035,2004,Tier 2,Supermarket Type1
3427,Low Fat,0.018925644,Health and Hygiene,97.3384,OUT018,2009,Tier 3,Supermarket Type2
3428,Regular,0.064748814,Dairy,79.4986,OUT027,1985,Tier 3,Supermarket Type3
3429,Low Fat,0.121496273,Snack Foods,197.4452,OUT045,2002,Tier 2,Supermarket Type1
3430,Regular,0.037840894,Snack Foods,129.5994,OUT045,2002,Tier 2,Supermarket Type1
3431,Low Fat,0.070444556,Hard Drinks,179.4344,OUT046,1997,Tier 1,Supermarket Type1
3432,Low Fat,0.050382246,Soft Drinks,94.2752,OUT018,2009,Tier 3,Supermarket Type2
3433,Low Fat,0.010641608,Canned,84.0908,OUT046,1997,Tier 1,Supermarket Type1
3434,Low Fat,0.05786369,Hard Drinks,115.4492,OUT010,1998,Tier 3,Grocery Store
3435,Low Fat,0.0,Household,104.3964,OUT035,2004,Tier 2,Supermarket Type1
3436,Regular,0.165350432,Dairy,114.2518,OUT018,2009,Tier 3,Supermarket Type2
3437,Low Fat,0.113053302,Health and Hygiene,232.93,OUT027,1985,Tier 3,Supermarket Type3
3438,Low Fat,0.079555138,Health and Hygiene,39.4506,OUT049,1999,Tier 1,Supermarket Type1
3439,Regular,0.141847977,Breads,159.6578,OUT027,1985,Tier 3,Supermarket Type3
3440,Low Fat,0.035634451,Snack Foods,242.917,OUT049,1999,Tier 1,Supermarket Type1
3441,Regular,0.026669833,Canned,92.712,OUT017,2007,Tier 2,Supermarket Type1
3442,Regular,0.081088481,Snack Foods,50.2008,OUT046,1997,Tier 1,Supermarket Type1
3443,Low Fat,0.027892415,Baking Goods,150.9708,OUT018,2009,Tier 3,Supermarket Type2
3444,Low Fat,0.012294203,Fruits and Vegetables,162.8894,OUT049,1999,Tier 1,Supermarket Type1
3445,Low Fat,0.052012483,Soft Drinks,187.5898,OUT018,2009,Tier 3,Supermarket Type2
3446,Low Fat,0.0,Dairy,147.876,OUT018,2009,Tier 3,Supermarket Type2
3447,Low Fat,0.026891006,Household,96.5726,OUT049,1999,Tier 1,Supermarket Type1
3448,Regular,0.136543704,Frozen Foods,51.564,OUT017,2007,Tier 2,Supermarket Type1
3449,Low Fat,0.029439793,Household,258.5646,OUT035,2004,Tier 2,Supermarket Type1
3450,Low Fat,0.081772054,Soft Drinks,120.444,OUT035,2004,Tier 2,Supermarket Type1
3451,Low Fat,0.080664702,Health and Hygiene,95.0436,OUT045,2002,Tier 2,Supermarket Type1
3452,Regular,0.02298735,Baking Goods,241.1538,OUT045,2002,Tier 2,Supermarket Type1
3453,Regular,0.089931111,Snack Foods,130.0626,OUT035,2004,Tier 2,Supermarket Type1
3454,Regular,0.05470525,Fruits and Vegetables,191.682,OUT045,2002,Tier 2,Supermarket Type1
3455,Regular,0.070201806,Baking Goods,187.9214,OUT018,2009,Tier 3,Supermarket Type2
3456,Low Fat,0.093607933,Baking Goods,140.4812,OUT049,1999,Tier 1,Supermarket Type1
3457,Regular,0.030351816,Snack Foods,219.7114,OUT045,2002,Tier 2,Supermarket Type1
3458,Regular,0.06087929,Soft Drinks,53.3614,OUT027,1985,Tier 3,Supermarket Type3
3459,Low Fat,0.18516682,Household,253.8698,OUT027,1985,Tier 3,Supermarket Type3
3460,Regular,0.125478425,Breakfast,40.948,OUT045,2002,Tier 2,Supermarket Type1
3461,Regular,0.018559094,Snack Foods,113.1544,OUT035,2004,Tier 2,Supermarket Type1
3462,Low Fat,0.0,Fruits and Vegetables,43.6454,OUT019,1985,Tier 1,Grocery Store
3463,Regular,0.047028693,Meat,185.3608,OUT046,1997,Tier 1,Supermarket Type1
3464,Low Fat,0.026342897,Baking Goods,125.702,OUT049,1999,Tier 1,Supermarket Type1
3465,Low Fat,0.03443923,Baking Goods,45.1086,OUT045,2002,Tier 2,Supermarket Type1
3466,Low Fat,0.005521567,Frozen Foods,122.3414,OUT027,1985,Tier 3,Supermarket Type3
3467,Regular,0.027987562,Fruits and Vegetables,46.7744,OUT027,1985,Tier 3,Supermarket Type3
3468,Regular,0.067409268,Fruits and Vegetables,110.457,OUT019,1985,Tier 1,Grocery Store
3469,Low Fat,0.037462127,Frozen Foods,194.2478,OUT049,1999,Tier 1,Supermarket Type1
3470,Low Fat,0.098613411,Meat,97.6042,OUT045,2002,Tier 2,Supermarket Type1
3471,Low Fat,0.03320771,Dairy,151.834,OUT035,2004,Tier 2,Supermarket Type1
3472,Regular,0.028436636,Canned,173.6422,OUT017,2007,Tier 2,Supermarket Type1
3473,Regular,0.097555725,Baking Goods,52.7666,OUT019,1985,Tier 1,Grocery Store
3474,Low Fat,0.079345519,Canned,77.0644,OUT046,1997,Tier 1,Supermarket Type1
3475,Regular,0.009938784,Snack Foods,157.863,OUT046,1997,Tier 1,Supermarket Type1
3476,Low Fat,0.031421979,Household,109.3228,OUT046,1997,Tier 1,Supermarket Type1
3477,Low Fat,0.087808521,Dairy,184.3292,OUT046,1997,Tier 1,Supermarket Type1
3478,Low Fat,0.028534583,Snack Foods,89.8146,OUT018,2009,Tier 3,Supermarket Type2
3479,Regular,0.047662684,Dairy,121.0756,OUT049,1999,Tier 1,Supermarket Type1
3480,Regular,0.010930195,Snack Foods,56.3588,OUT013,1987,Tier 3,Supermarket Type1
3481,Regular,0.09314922,Canned,50.7982,OUT018,2009,Tier 3,Supermarket Type2
3482,Low Fat,0.042443319,Canned,256.033,OUT027,1985,Tier 3,Supermarket Type3
3483,Regular,0.04127448,Snack Foods,101.6332,OUT035,2004,Tier 2,Supermarket Type1
3484,Low Fat,0.152677702,Breakfast,99.9358,OUT018,2009,Tier 3,Supermarket Type2
3485,Regular,0.089537252,Snack Foods,149.7708,OUT035,2004,Tier 2,Supermarket Type1
3486,Low Fat,0.04771769,Household,179.666,OUT046,1997,Tier 1,Supermarket Type1
3487,Regular,0.092959451,Canned,52.6982,OUT045,2002,Tier 2,Supermarket Type1
3488,Low Fat,0.069006936,Household,128.931,OUT010,1998,Tier 3,Grocery Store
3489,Regular,0.063459792,Dairy,180.0318,OUT045,2002,Tier 2,Supermarket Type1
3490,Low Fat,0.021795357,Fruits and Vegetables,190.9872,OUT019,1985,Tier 1,Grocery Store
3491,Low Fat,0.047987076,Breads,217.0166,OUT013,1987,Tier 3,Supermarket Type1
3492,Regular,0.03014565,Baking Goods,100.5384,OUT035,2004,Tier 2,Supermarket Type1
3493,Low Fat,0.059444518,Snack Foods,101.37,OUT049,1999,Tier 1,Supermarket Type1
3494,Low Fat,0.064141622,Hard Drinks,45.306,OUT046,1997,Tier 1,Supermarket Type1
3495,Regular,0.037946799,Baking Goods,153.3656,OUT049,1999,Tier 1,Supermarket Type1
3496,Regular,0.067806182,Breads,255.1988,OUT049,1999,Tier 1,Supermarket Type1
3497,Regular,0.140829653,Baking Goods,52.5008,OUT049,1999,Tier 1,Supermarket Type1
3498,Regular,0.067838225,Breads,256.4988,OUT045,2002,Tier 2,Supermarket Type1
3499,Low Fat,0.034598891,Hard Drinks,115.9834,OUT017,2007,Tier 2,Supermarket Type1
3500,Low Fat,0.128615187,Fruits and Vegetables,163.221,OUT027,1985,Tier 3,Supermarket Type3
